Predictor variable,Categorical,Sample average
bio1,false,208.79936305732485
bio10,false,298.7797648211661
bio11,false,123.60019598236158
bio12,false,232.58427241548262
bio13,false,41.86305732484077
bio14,false,2.644047035766781
bio15,false,60.9047035766781
bio16,false,103.29397354238118
bio17,false,13.769475747182753
bio18,false,78.17956883880451
bio19,false,69.05585497305242
bio2,false,163.8674669279765
bio3,false,46.82508574228319
bio4,false,6915.568593826556
bio5,false,389.4622733953944
bio6,false,41.17564919157276
bio7,false,348.28662420382165
bio8,false,248.15580597746202
bio9,false,237.9390004899559
